Sample ID	Gene Name	Entrez ID	Start Position	End Position
P07816617A0763	HAC1	10612	26	30
P07816630A1333	H4-I	8366	163	167
P07816808A1102	STR	6779	31	34
P07820057A0000	Tumor necrosis factor alpha	7124	-1	26
P07821790A1084	UCRBP	7528	13	18
P07821790A1084	UCRBP	7528	102	107
P07823919A1422	COUP-TFI	7025	100	108
P07823919A1422	EAR-3	7025	94	99
P07823919A1422	ARP-1	7026	116	121
P07823919A1422	RXR	6256	49	52
P07823919A1422	Oct-3/4	5460	25	32
P07823919A1422	COUP-TFII	7026	122	131
P07823951A1100	EKLF	10661	137	141
P07823951A1100	EKLF	10661	30	34
P07823953A0777	I kappa B alpha	4792	146	161
P07823953A0777	I kappa B alpha	4792	83	98
P07823953A0777	I kappa B alpha	4792	18	33
P07826625X0000	TATA-binding protein	6908	67	87
P07828584A0681	c-Fos	2353	42	47
P07828584A0681	AP1	2353	63	66
P07829102T0000	Nramp	18173	52	57
P07835088A0238	HSD3B2	3284	14	20
P07835088A0238	HSD3B1	3283	3	9
P07835273A0000	Insulin	3630	-1	6
P07835273A0000	insulin receptor	3643	69	85
P07835273A0411	EGFR	13649	58	62
P07835710T0000	I kappa B alpha	4792	36	51
P07835886A0894	corticosteroid-binding globulin	866	199	230
P07835886A0894	kallistatin	5267	3	14
P07835886A0894	alpha 1-antitrypsin	5265	174	193
P07835886A0894	alpha 1-antichymotrypsin	12	127	151
P07836218A0128	beta-endorphin	5443	166	180
P07836218A0128	beta-endorphin	5443	40	54
P07836406A0884	cdc2	983	81	85
P07836471A0375	hNUC	4924	58	62
P07838156A0789	RVR	9975	45	48
P07838156A0789	ROR alpha	6095	198	207
P07841663A0685	SOD	6647	21	24
P07844142A0640	SR beta	10575	51	58
P07844142A0640	SR beta	10575	73	80
P07844142A0640	SR alpha	4481	118	126
P07844142A0640	SRP54	6729	131	136
P07844155A0327	LAR	5792	206	209
P07844155A0327	LAR	5792	112	115
P07844555A0406	pim-1	18712	28	33
P07845672A0368	blk	12143	30	33
P07847036A0353	VIII	1351	-1	3
P07852400A0519	Rac2	5880	56	60
P07852400A0519	Rac1	5879	79	83
P07852400A0519	RhoA	387	65	69
P07853524A1944	Tax	6900	95	98
P07853524A1944	Tax	6900	59	62
P07853524A1944	Tax	6900	34	37
P07854324A0281	wee1	853252	101	105
P07854324A0742	wee1	7465	33	37
P07857086A0949	Insulin	3630	23	30
P07859739T0000	p16INK4	1029	82	89
P07859739T0000	MTS1	1029	90	94
P07859777A0000	rHSA	25145	32	36
P07859777A0000	serum albumin	213	17	30
P07860208A0000	IL-1	3553	51	55
P07860208A0000	interleukin-1 beta	3553	31	49
P07860208A0000	TNF	7124	91	94
P07860646A1363	FGF-2	2247	110	115
P07862092A0302	sdp1	51429	198	202
P07862092A0302	sdp1	51429	83	87
P07862129A1391	HNF-3 alpha	3169	58	69
P07862129A1391	TTR	7276	156	159
P07862141A1412	RFX1	5989	26	30
P07862154A0340	RAF1	5894	96	100
P07862168A0000	IL-2R alpha	3559	39	50
P07862533A0000	EGR-1	1958	204	209
P07862533A0000	early growth response-1	1958	179	202
P07862533A0000	WT1	7490	37	40
P07863047A0229	ACE	163	33	36
P07863047A0229	ACE	163	190	193
P07865129A0293	TBP	6908	30	33
P07865129A0293	ATF	2668	18	21
P07865876A1292	DRTF1	7027	120	125
P07865888A1309	PBP74	3313	29	34
P07865917A0191	CSA	1161	84	87
P07865917A0191	ACE	163	110	113
P07871718A1132	GABP alpha and beta	2551;2553	94	113
P07871891A0227	S13	6207	77	80
P07872673A0332	c-fos	2353	46	51
P07872673A0332	c-fos	2353	123	128
P07876134A0348	AFAP-110	60312	74	82
P07876192A0443	ICE	8824	123	126
P07876300A0994	p97	4241	3	6
P07877619A1284	zif268	1958	203	209
P07877619A1284	zif268	1958	69	75
P07878029A0721	CBF-C	4802	187	192
P07878029A0721	CBF-C	4802	69	74
P07878029A0721	CBF-C	4802	22	27
P07878029A0721	CBF-A	4801	181	186
P07878029A0721	CBF-A	4801	121	126
P07878029A0721	CBF-A	4801	12	17
P07878029A0721	CBF-C	4802	130	135
P07878029A0721	CBF-A	4801	63	68
P07878029A0721	CBF-B	865	92	97
P07880442A0236	PKC beta	5579	9	17
P07883167A0157	UPF3	852963	38	42
P07883167A0157	UPF1	855104	29	33
P07883168A0090	UPF1	5976	12	16
P07885999A0000	tyrosinase	22173	91	101
P07887226A0858	transferrin receptor	7037	74	94
P07888623A0721	ATMPK1	837559	85	91
P07890599A0132	unc18	181030	263	268
P07890599A0132	n-Sec1	20910	225	231
P07890599A0132	Sec1p	851742	299	304
P07890599A0132	rbSec1	20910	232	238
P07890674A0916	E-cadherin	999	28	38
P07890674A0916	E-cadherin	999	73	83
P07890674A0916	APC	324	65	68
P07890674A0916	APC	324	20	23
P07891685A1051	Mig1p	9525	134	139
P07891685A1051	Cat4p	6545	127	132
P07891708A0690	Epo	2056	4	7
P07891708A0690	HNF-4	3172	9	14
P07891708A1192	Epo	2056	58	61
P07891713T0000	Fos	2353	38	41
P07892353A0667	rCBF	362686	55	59
P07896088A0720	RIF1	55183	111	115
P07896088A0720	rap1	5906	117	121
P07896088A0720	RIF1	55183	172	176
P07896088A0720	RAP1	5906	87	91
P07896852T0000	apolipoprotein AI	335	52	69
P07896852T0000	Egr-1	1958	43	48
P07897696A0000	delta-aminolevulinic acid dehydratase	210	11	48
P07897696A0000	ALAD	210	50	54
P07901125A0416	ARO3	851605	107	111
P07902583A0545	Swi5	375757	142	146
P07902583A0545	Swi5	375757	57	61
P07907846A0623	cholinesterase	590	65	79
P07908827A1200	RARs	5917	156	160
P07908827A1200	RAR	5915	253	256
P07908827A1200	RAR beta	5915	69	77
P07910716A0359	rIL-2	116562	58	63
P07910716A0359	rIL-2	116562	345	350
P07910716A0359	alpha 2b	151	176	184
P07910716A0359	alpha 2b	151	290	298
P07910946A0323	IL-2	3558	215	219
P07911736A1715	MTD	4493	6	9
P07914192A0211	HER2	2064	-1	3
P07914192A0211	HER2	2064	245	249
P07914192A0844	HER2	2064	194	198
P07914700A0000	PKR	19106	58	61
P07916003A0688	CD79 alpha	12518	109	119
P07916003A0688	CD79 alpha	12518	58	68
P07916326A0000	Msx-1	17701	120	125
P07916327A0250	GSC	145258	55	58
P07916689A0312	POT1	25913	12	16
P07917540A0000	interferon-alpha 2b	3440	88	107
P07918097T0000	Notch 3	18131	31	38
P07918097T0000	Notch	18131	9	14
P07918494A1163	thioredoxin	7295	47	58
P07918494A1163	thioredoxin reductase	25824	60	81
P07918494A1163	NADPH	1666	87	92
P07919540A0240	c-myc	4609	62	67
P07919540A0240	p64	3561	77	80
P07919540A1119	c-Myc	4609	63	68
P07926748A0383	NOT1	23019	19	23
P07926748A0383	not2	4848	113	117
P07926748A0383	not1	23019	104	108
P07926748A0383	NOT4	4850	88	92
P07926748A0383	NOT3	4849	80	84
P07926748A0383	NOT3	4849	28	32
P07926748A0383	NOT4	4850	-1	3
P07933116A0412	p55	347376	3	6
P07935370A0000	CD4	920	29	32
P07935370A0000	CD8	925	37	40
P07935375A1197	PGS2	1634	60	64
P07935415T0000	diazepam-binding inhibitor	38784	33	59
P07935418A0447	erbA	7067	9	13
P07935418A0447	RLD-1	10062	86	91
P07935426A0714	TdT	1791	103	106
P07935447A0972	MLC-2v	4633	250	256
P07935447A0972	USF	7391	40	43
P07935468T0000	epidermal growth factor receptor	1956	57	89
P07935468T0000	c-fos	2353	13	18
P07935471A0613	hHSF1	3297	153	158
P07935471A0613	HSF	399268	18	21
P07935471A0613	hHSF1	3297	59	64
P07935471A0613	HSF	399268	101	104
P07935472A0276	Ets-1	23871	30	35
P07935472A0276	EL4	111979	119	122
P07935472A0790	Ets-1	2113	40	45
P07936640A0900	TGF alpha	24827	137	146
P07936650A0656	Ets-2	2114	150	155
P07936650A1752	ets-2	2114	44	49
P07936650A1752	ets-1	2113	38	43
P07937132A0819	U21	6083	11	14
P07937656A0182	NSE	2026	172	175
P07937656A0182	albumin	213	298	305
P07937841A0790	myb	4602	126	129
P07937841A0790	Waf1	1026	57	61
P07937841A0790	p53	7157	45	48
P07937841A0790	Cip1	1026	62	66
P07937954A0612	Raf	22882	75	78
P07945330A0103	Rex-1	57455	66	71
P07945937A0358	Egr1	1958	258	262
P07945937A0358	Egr1	1958	116	120
P07945937A0358	egr1	30498	34	38
P07949164A0799	IL-6	3569	106	110
P07949164A0799	CAT	847	55	58
P07949164A0799	IL-6	3569	50	54
P07951410A0647	E2F-1	1869	53	58
P07951410A0647	cyclin A	890	66	74
P07951410A0647	E2F-1	1869	182	187
P07951410A0647	DP-1	7027	191	195
P07951410A0647	DP-1	7027	60	64
P07954891T0000	ERV1	852916	-1	3
P07957106A0875	VP16	3054	77	81
P07957106A0875	VP16	3054	119	123
P07958865A1152	Tek	7010	110	113
P07958898A1050	dTFIIA-L	43284	14	22
P07958898A1050	Sp1	6667	134	137
P07958898A1050	VP16	3054	139	143
P07958920A1157	SNM1	9937	31	35
P07959011A0379a	C/EBP alpha	24252	-1	10
P07959011A0379b	C/EBP alpha	24252	-1	10
P07959015A0478	rAMPK	78975	109	114
P07959015A0478	hAMPK	5563	32	37
P07959760A0763	Fli-1	2313	397	402
P07959760A0763	c-ets 1	2113	176	183
P07959760A0763	Fli-1	2313	188	193
P07959953A0423	IFI16	3428	-1	4
P07961957A1565	alpha-MHC	4624	113	122
P07961957A1565	TEF-1	7003	52	57
P07963540A0795	c-Rel	5966	97	102
P07963540A0795	I-kappa B alpha	4792	11	26
P07963540A0795	RelA	5970	87	91
P07964458A0179	Nramp	6556	86	91
P07964458A0179	natural resistance-associated macrophage protein	6556	36	84
P07967360A1048	IgA	973	89	92
P07969116A0196	Nur77	3164	3	8
P07969132A0268	gcn2	440275	212	216
P07969132A0268	gcn2	440275	155	159
P07969135A0913	Cln2	1200	25	29
P07969136A0273	NF-kappa B	4790	131	141
P07969152A0721	CUP1	856450	100	104
P07969181A0313	p53	7157	151	154
P07969181A0313	CKB	1152	40	43
P07972237A0665	N-myc	4613	77	82
P07972831A0563	PAI-1	5054	-1	4
P07977648A0880	TP53	7157	17	21
P07980440A0138	PEPCK	362282	90	95
P07980669A0373	NPY	4852	87	90
P07981143A0633	IL-4	3565	70	74
P07981246A0112	IAP	3375	50	53
P07981246A0112	c-fos	2353	179	184
P07982964A1017	ATX	5168	-1	2
P07982964A1017	PC-1	5122	9	13
P07983715A0996	USF	7391	188	191
P07988559A0836	RBP-J kappa	3516	23	34
P07988730A0220	tax	6900	263	266
P07991582A1023b	CEG1	852747	28	32
P07994021A1223	PECAM-1	5175	73	80
P07995910A0119	nodal	4838	108	113
P07999066A0238	IL-2	3558	91	95
P07999066A0238	IL-2	3558	258	262
P07999066A0238	tat	6898	15	18
P07999066A0238	tat	6898	170	173
P07999982A0086	FRDA	2395	62	66
P07999982A0086	FRDA	2395	36	40
P08001792A0284	git1	28964	3	7
P08001966A0563	CNC	42743	75	78
P08003700T0000	atp6	809475	145	149
P08005230A0222	c-fos	2353	88	93
P08005230A0222	EPO	2056	58	61
P08005438A1185	srn1	7827	114	118
P08007975A0000	IPL1	855892	3	7
P08012448T0000	INO2	851701	-1	3
P08016102A1238	NF-kappa B	4790	85	95
P08016102A1238	AP-2	7020	100	104
P08016102A1238	HO-1	3162	240	244
P08017290A1347	pH	5053	76	78
P08028671A0687	CBP	1387	45	48
P08034680A0180	NF-kappa B	4790	40	50
P08034741A0000	brush border myosin I	4640	137	158
P08034741A0000	myr 4	25485	52	57
P08035796A0890	eIF-2 alpha	83939	137	148
P08035796A0890	eIF-2 alpha	83939	191	202
P08035796A0890	eIF-2 alpha	83939	49	60
P08037338A0000	EPO	2056	135	138
P08037338A0000	EPO	2056	52	55
P08037338A0000	erythropoietin	2056	36	50
P08039422A0000	NGFB	4803	34	38
P08040336A0435	albumin	213	127	134
P08040336A0435	LAP	7939	96	99
P08041793A0242	COX5b	1329	146	151
P08043523A0000	nicotinic acetylcholine receptor	1137	51	83
P08043523A0000	nAChR	1137	85	90
P08044794A0000	p53	7157	47	50
P08044802A0462	p53	7157	153	156
P08044802A0462	p53	7157	130	133
P08048916A0000	IGF I	3479	-1	4
P08049444A0351	SATB1	6304	161	166
P08049444A0351	special A-T-rich binding protein 1	6304	125	159
P08057421A1583	CBF1	3516	135	139
P08057421A1583	CD23	2208	170	174
P08057421A1583	CBF1	3516	101	105
P08058326A0463	tal-1	21349	66	71
P08058948A0810	CRF	1392	106	109
P08062824A0626	FKBP-12	2285	153	160
P08062833A0000	desmin	13346	74	80
P08063775T0000	parathyroid hormone-related protein	5744	13	48
P08063775T0000	PTHrP	5744	50	55
P08063836A0904	c-myc	4609	32	37
P08063836A0904	c-Abl	25	102	107
P08063836A0904	c-Abl	25	16	21
P08065324A0458	TATA	541788	95	99
P08065331A0279	HLF	3131	114	117
P08065338T0000	Oct-2	5452	3	8
P08065365A0000	snRNP	57819	46	51
P08065901A0997	ZFP	55888	82	85
P08067607A0568	CRP	488629	48	51
P08070004A0782	t1/2 alpha	9173	107	117
P08070393A0631	EGF	1950	40	43
P08070654A0000	KAR1	855533	-1	3
P08070654A0574	caltractin	1068	107	117
P08070654A0574	SPB	6439	21	24
P08070654A0574	CDC31	1070	-1	4
P08072547A0690	c-Jun	3725	67	72
P08072547A1009	c-Fos	2353	148	153
P08072547A1009	c-Fos	2353	88	93
P08072547A1009	c-Jun	3725	66	71
P08072547A1009	JNK	5599	38	41
P08072547T0000	H-Ras	3265	44	49
P08072547T0000	c-Fos	2353	-1	4
P08072547T0000	JNK	5599	89	92
P08072547T0000	ERK	5594	97	100
P08076631A0000	AP-1	3727	35	39
P08076631A0000	AP-1	3727	86	90
P08076631A0000	vitamin D receptor	7421	44	62
P08076631A0000	osteocalcin	632	160	171
P08076631A0000	VDR	7421	64	67
P08076631A0000	osteocalcin	632	198	209
P08076631A0000	AP-1	3727	134	138
P08083220A0988	c-fos	2353	92	97
P08083963A0795	VBP, a1	597	29	36
P08083963A0795	EBP	10682	37	40
P08086450A0467	Sp1	540741	207	210
P08086450A0467	hATP1	498	73	78
P08086450A0467	GCF	282246	222	225
P08086453T0000	APEX	328	68	72
P08088513A0419	Prp16	853961	115	120
P08088777A0754	Grp78	3309	129	134
P08088777A0754	Epb7.2	2040	142	148
P08088777A0754	Pbx3	5090	135	139
P08088777A0754	Ak1	203	117	120
P08088777A0754	Gsn	2934	152	155
P08088777A0754	Rxra	6256	99	103
P08088777A0754	Dbh	1621	79	82
P08088777A0754	Notch1	4851	83	89
P08088777A0754	Col5a1	1289	92	98
P08088818A1053	RAD52	5893	163	168
P08091669A0828	p35	3592	83	86
P08091669A0828	P35	3592	20	23
P08093450A0688	NRF-1	4899	19	24
P08093450A0688	ALAS	211	38	42
P08093450A0688	NRF-1	4899	163	168
P08093616A1214	DREF	9189	44	48
P08093616A1214	DNA polymerase alpha	5422	86	106
P08093616T0000	proliferating cell nuclear antigen	37290	175	209
P08093616T0000	DNA polymerase alpha	43278	150	170
P08093642A0600	RET	5979	85	88
P08098842A0660	c-fos	2353	152	157
P08099443A0359	GCN2	851877	114	118
P08099443A0359	GCN4	856709	140	144
P08100057A0577	CD68	968	65	69
P08100843A0134	Cd22	12483	135	139
P08100843A0134	mCD22	12483	155	160
P08100843A0134	mCD22	12483	102	107
P08101134A0376	ACTH	5443	28	32
P08101839A0000	mdr1	5243	87	91
P08101839A0000	mdr1	5243	56	60
P08105994T0000	gamma-glutamyl transferase	2678	43	69
P08106369A0000	Vasopressin	551	-1	10
P08106369A0000	antidiuretic hormone	551	22	42
P08106369A0000	AVP	551	12	15
P08106512A0522	interferon regulatory factor 1	3659	171	201
P08106512A0522	interferon-alpha and -gamma	3458	138	165
P08108343A0000	GnRH	2796	64	68
P08108413A0964	PANG	5067	105	109
P08111035A0098	oleosin	106379139	202	209
P08111035A0098	oleosin	106379139	81	88
P08114702A0000	myocyte-specific enhancer-binding factor 2	4205	14	56
P08114702A0000	MEF2	4205	58	62
P08118044A0318	GATA-1	14460	-1	5
P08119149A0000	TNF alpha	7124	28	37
P08119149A0000	Tumor necrosis factor-alpha	7124	-1	26
P08119907A0000	IGF-I	3479	101	106
P08119907A0000	insulin-like growth factor-I	3479	71	99
P08119907A0000	p21ras	3265	41	47
P08119907A0000	insulin	3630	59	66
P08119958A0273	PKC mu	5587	177	183
P08120019A1500	Hm1	1128	14	17
P08123787A0554	HemB	2158	54	58
P08124912A0456	beta 2-microglobulin	3135	89	109
P08124912A0456	IL-8	3576	56	60
P08125258A0142	CHOP	1649	55	59
P08131746A0140	mos	4342	98	101
P08131746A0140	c-raf	5894	91	96
P08131746A0140	MEK	5609	-1	2
P08131746A0140	MEK	5609	106	109
P08132541A0000	MAL	4118	55	58
P08132574A0831	complement C2	717	38	51
P08132574A0831	CYP1A1	1543	133	139
P08132574A0831	RP1	6101	96	99
P08132667T0000	furin	5045	54	59
P08134108A0277	c-myc	4609	3	8
P08134108A0277	YY1	7528	57	60
P08139001A1235	NS1	10625	63	66
P08139017A1465	Ets-1	2113	132	137
P08139031A1168	ORF4	83992	119	123
P08139031A1168	ORF4	83992	355	359
P08139539A0446	protein kinase A	25636	172	188
P08139542A1229	CPA1	1357	46	50
P08139542T0000	CPA1	854479	52	56
P08139914A0554	Id1	3397	49	52
P08139928T0000	RNP1	850680	-1	3
P08144037A0000	TR	2149	12	14
P08144037A0000	Thioredoxin	7295	-1	10
P08144572A0786	BiP	3309	150	153
P08144572A0786	Ssb1/2p	80176	49	56
P08144572A0786	Hsp70	3309	124	129
P08144615A0533	NF-IL6	1051	12	18
P08144615A0533	NF-IL6	1051	83	89
P08144615A0533	Asp-N	54829	37	42
P08144852A0000	vasopressin	551	72	83
P08144852A0000	CRF	1392	127	130
P08144852A0000	corticotropin releasing factor	1392	95	125
P08144852A0000	ACTH	5443	66	70
P08148463A0000	interleukin 3	3562	174	187
P08149484A0151	PKC alpha and PKC delta (PKC alpha K	5578;5580	61	97
P08149484A1551	PKC delta	5580	66	75
P08149484A1551	PKC alpha	5578	32	41
P08149484A1551	AP-1	3726	177	181
P08149484A1551	AP-1	3726	164	168
P08151790A0354	Sp1	6667	119	122
P08152800A0357	PEA3	2118	131	135
P08152800A0357	ER81	2115	140	144
P08152800A0357	PEA3	2118	207	211
P08157009A0264	AP-1	3725	112	116
P08157009A0264	Aps1p	326	36	41
P08157009A0264	Aps2p	170685	130	135
P08157009T0000	APS1	850868	28	32
P08157674T0000	valosin-containing protein	7415	31	57
P08164684A1266	RXR	6256	14	17
P08172653A1589	TnT	162083	43	46
P08172653A1589	TnT	162083	157	160
P08182041A1067	insulin	3630	181	188
P08182041A1067	CREB	1385	122	126
P08182041A1067	insulin	3630	98	105
P08182041A1067	PEPCK	5106	153	158
P08182041A1067	PEPCK	5106	67	72
P08182056A0695	NQO2	4835	39	43
P08182056A0695	NQO1	1728	48	52
P08182056A0695	NQO2	4835	99	103
P08183552T0000	eps15	2060	9	14
P08183915A0000	NF-kappa B	4790	97	107
P08183915A0000	p105	4790	219	223
P08183915T0000	p105	18033	61	65
P08183915T0000	NF-kappa B	18033	66	76
P08187085A0086	ret	5979	100	103
P08188258A0000	prolyl-tRNA synthetase	2058	28	50
P08188603A0230	CPA2	853573	112	116
P08188603A0230	arg4	856411	38	42
P08190633A0000	AP-2	7020	24	28
P08190633A0000	HLA	3105	83	86
P08190633A0273	AP-2	7020	10	14
P08192140A0209	San	80218	118	121
P08194139A0498	prolactin	5617	18	27
P08195186A0000	CAT1	6541	198	202
P08195216A1022	TRP3	7219	205	209
P08196616A1112	ZAP-70	7535	33	39
P08196616A1112	ZAP-70	7535	176	182
P08196616A1112	ZAP-70	7535	93	99
P08196618A0473	PRL-1	7803	-1	4
P08202546A1206	hUBF	7343	32	36
P08204348T0000	VP-16	3054	-1	4
P08204403A0000	CEA	1084	167	170
P08207232A0503	NF-IL-6	1051	137	144
P08207232A0503	IL-8	3576	157	161
P08207232A0503	NF-IL-6	1051	54	61
P08208540A0000	NFKB2	4791	21	26
P08208618A1334	Sp1	6667	67	70
P08208618A1334	HR21Xap	5885	23	30
P08208618A1334	HR21	5885	5	9
P08209772A0167	ns2	57762	3	6
P08218230A1505	HNF-1	6927	141	146
P08218230A1505	hepatocyte nuclear factor 1	6927	112	139
P08218230A1920	HNF-1	378590	96	101
P08219227A0830	AP-1	3726	48	52
P08219227A0830	AP-1	3726	176	180
P08222384A0455	SIN-1	79109	-1	4
P08223425T0000	SSS1	851659	9	13
P08223613A0105	TPS1	7177	24	28
P08223613A0519	TSL1	854872	101	105
P08223613A0519	TSL1	854872	186	190
P08223613A0519	TPS3	855303	202	206
P08223613A0519	TPS2	851646	92	96
P08223875A0711	CD45	5788	169	173
P08223875A0711	CD45	5788	106	110
P08223875A0711	CD45	5788	86	90
P08223875A0711	p59fyn	2534	159	165
P08224907A0000	enhancer factor I subunit A	500538	57	84
P08224907A0000	EFIA	500538	37	41
P08227129T0000	MyBP-C	4607	50	56
P08228805A0540	p21ras	3265	97	103
P08228805A0540	TCR	6962	30	33
P08228805A0540	TCR	6962	129	132
P08231816A1473	tsp	7057	221	224
P08234276A0556	NF-IL6	1051	90	96
P08234276A0556	IL-8	3576	50	54
P08234276A0556	NF-kappa B	4790	101	111
P08244034T0000	GP63	89782	43	47
P08245456A0501	IL-5	3567	173	177
P08245456A0501	IL-5	3567	34	38
P08245461A0700	Hu-Met-1	3004	-1	7
P08246984A0512	PI 3-kinase	5295	56	67
P08246984A0923	p85	5296	175	178
P08246987A0260	p56lck	3932	50	56
P08247005A0584	drs2	1855	19	23
P08248246A0838	Sp1	6667	33	36
P08248253A1785	L-CAM	415860	77	82
P08251622A0000	napA	106391998	73	77
P08253386A0800	fibronectin	2335	47	58
P08253386A0800	SE	6713	96	98
P08253387A0801	GAL4	3960	69	73
P08253387A0801	TCF-2	6928	101	106
P08253387A1291	TCR alpha	28695	107	116
P08253777A0301	Kv1.5	3741	122	127
P08255758A0000	LTR	10216629	104	107
P08261398A0392	II alpha	11981	80	88
P08264579A1209	PTR2	100616497	14	18
P08264582A0750	LIFR	3977	191	195
P08264617A0000	ErbB-3	2065	141	147
P08264617A0000	EGFR	1956	36	40
P08264628A0418	TFIIIB	55814	114	120
P08264631A0746	ADH2	125	116	120
P08264650A0925	mds1	2122	32	36
P08264650A0925	MDS1	2122	69	73
P08264664A0128	AP-1	3726	50	54
P08264664A0128	TGF beta 1	7040	-1	9
P08267667A0748	CYP	9360	125	128
P08267667A0748	GRg2	7089	26	30
P08267667A0748	CYP	9360	72	75
P08268718A0676	bcl3	602	5	9
P08269424A0339	CRF	1392	39	42
P08269424A0339	TRH	7200	47	50
P08269424A0339	ACTH	5443	52	56
P08270257A0551	nm23-H1	4830	42	49
P08276234A0119	DNA-binding protein	284390	54	73
P08276234A0119	YY1	7528	24	27
P08276234A0119	c-fos	2353	105	110
P08276865A1188	p21ras	3265	218	224
P08276865A1188	epidermal growth factor	1950	73	96
P08276865A1188	p21ras	3265	120	126
P08281536A0626	Interleukin-6	3569	-1	12
P08284227A0336	Id1	3397	116	119
P08284227A0336	Id1	3397	75	78
P08288240A0304	stathmin	3925	52	60
P08288240A0304	SCG10	11075	42	47
P08288240A1343	Lap18	3925	154	159
P08288240A1343	SCG10	11075	64	69
P08288240A1343	stathmin	3925	145	153
P08288554A0295	HO-1	15368	44	48
P08288554A0295	p32	12261	78	81
P08288596A0663	TATA box binding protein	6908	229	253
P08288622A0725	HDC	3067	71	74
P08289593A1404	MK	81517	207	209
P08289593A1404	MK	81517	54	56
P08289783A0000	Oct-3/4	5460	3	10
P08289783A1476	Oct-3/4	5460	106	113
P08289793A1226	Oct4	5460	106	110
P08289831A0290	mig	17329	11	14
P08289831A0290	CAT	12359	15	18
P08289834A0341	TGF-beta	7040	59	67
P08289834A0341	bone morphogenetic protein 2	650	81	109
P08290278A0374	Mad	4084	19	22
P08290278A0374	Mxi1	4601	10	14
P08290278A0374	Myc	4609	40	43
P08294429A0153	hGH	8836	22	25
P08294429A0153	hGh	8836	77	80
P08294429A0153	hGH	8836	185	188
P08294459A0446	SAP-1	5794	40	45
P08294459A0446	SAP-1	5794	70	75
P08294511A0639	snRNP	57819	134	139
P08300601A0745	MyoD	4654	88	92
P08300601A0745	MyoD	4654	56	60
P08301702A1083	cytochrome P-450 1A1	24296	42	62
P08302589A1132	HGF	3082	3	6
P08304301A0331	HCC	619501	63	66
P08304342A0605	HLA-F	3134	225	230
P08304342A0605	HLA-A	3105	272	277
P08306959A0278	IFN alpha	3439	-1	8
P08306959A0278	IFN gamma	3458	13	22
P08306959A0278	IFN gamma	3458	120	129
P08307338A0227	cob	854583	125	128
P08307338A0227	cytochrome b	854583	111	123
P08307338A0227	CBP1	853221	29	33
P08308008A0201	COXIV	1327	174	179
P08314163T0000	granulocyte-macrophage colony stimulating factor	1437	69	117
P08316240A1068	CHL15	856254	47	52
P08319907A0754	rap1	5906	9	13
P08321203A0840	p50	4790	15	18
P08321203A0840	Rel	5966	24	27
P08321203A0840	C/EBP alpha	1050	56	67
P08321203A0840	C/EBP beta	1051	69	79
P08321203A0840	C/EBP delta	1052	85	96
P08321203A0840	NF-kappa B p65	5970	-1	13
P08323294T0000	sterol carrier protein x	396550	32	56
P08323294T0000	sterol carrier protein 2	396550	7	31
P08324107A0000	albumin	213	13	20
P08325883A0368	RBP1	5947	28	32
P08327488A0839	p70	84959	231	234
P08327488A0839	p70	84959	46	49
P08332495A0408	CAT	847	168	171
P08332495A0408	CAT	847	28	31
P08332495A0408	pT7	7633	160	163
P08334304A0473	p21	644914	131	134
P08334989A0070	B-myb	17865	100	105
P08336698T0000	TFE3	7030	81	85
P08336698T0000	TFEC	22797	-1	3
P08336698T0000	TFE3	7030	63	67
P08337841A0612	CATG	1511	236	240
P08340400T0000	RPE65	6121	35	40
P08343961A0000	bcd	40830	98	101
P08343961A0000	bicoid protein	40830	82	96
P08344248A0910	p190	8506	29	33
P08345191A1140	MCL1	4170	137	141
P08345191A1140	bcl-2	596	81	86
P08345191A1140	bcl-2	596	117	122
P08349104A0000	GAL10	852307	37	42
P08349104A0000	GAL1	852308	28	32
P08349632A0679	PSG12	653492	56	61
P08349632A0679	PSG12	653492	127	132
P08349632A0679	PSG12	653492	66	71
P08350061A0209	CD8	925	63	66
P08352268A0000	epoetin	2056	33	40
P08352268A0000	erythropoietin	2056	17	31
P08355063A0456	rCBF	362686	3	7
P08355696A0236	c-jun	3725	19	24
P08355696A0236	AP-1	3725	79	83
P08356792A1275	Rex1	57455	53	57
P08357834A0285	PKC-delta	5580	67	76
P08357834A0285	PKC	5580	265	268
P08361755A0734	NF-kappa B	4790	55	65
P08361755A0734	NF-kappa B	4790	156	166
P08361755A0734	Tax	6900	137	140
P08361755A0734	p50	4790	66	69
P08361755A0734	serum response factor	6722	74	95
P08361755A0734	SRF	6722	97	100
P08361761A0174	Sp1	395303	456	459
P08361761A0174	Sp1	395303	101	104
P08367487A1014	PRP9	10946	189	193
P08375651T0000	clathrin	32537	14	22
P08375651T0000	clathrin	32537	41	49
P08376796A0172	insulin	3630	222	229
P08376796A0172	IgG	3502	134	137
P08376796A0172	IgG3	3502	158	162
P08378082A1031	p21ras	3265	69	75
P08382359A0469	pRb	5925	174	177
P08382769A0924	SRP54	6729	154	159
P08383217A0357	VP16	3054	171	175
P08383622T0000	NRF-2	4780	21	26
P08385131A0000	alpha 2A-adrenergic receptor	150	3	31
P08385131A0000	alpha 2AAR	150	33	43
P08385337A0282	C/EBP	1050	65	70
P08385337A0282	CCAAT/enhancer binding protein	1050	33	63
P08385581A0126	REC114	283677	72	78
P08385581A0126	REC114	283677	19	25
P08386317T0000	CREB	1385	79	83
P08386317T0000	CREB	1385	98	102
